epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,256.163,0.36971,0.31319,0.84865,0.86713,0.87039,0.96036,0.80653,0.65041,0.85591,1.09533,0.00026527,0.00026527,0.00026527
43,262.066,0.40274,0.37858,0.8502,0.9374,0.93333,0.98794,0.8639,0.58734,0.71734,1.04642,0.00025788,0.00025788,0.00025788
44,268.227,0.40458,0.3615,0.85829,0.9374,0.93333,0.98794,0.8639,0.58734,0.71734,1.04642,0.00024983,0.00024983,0.00024983
45,274.436,0.35681,0.35189,0.84741,0.98459,1,0.995,0.85453,0.59783,0.65616,1.0494,0.00024112,0.00024112,0.00024112
46,280.259,0.3882,0.33744,0.85896,0.98459,1,0.995,0.85453,0.59783,0.65616,1.0494,0.00023175,0.00023175,0.00023175
47,286.009,0.35149,0.35942,0.87345,0.98773,1,0.995,0.84383,0.64014,0.66055,1.08375,0.00022172,0.00022172,0.00022172
48,291.929,0.30076,0.30277,0.85918,0.98773,1,0.995,0.84383,0.64014,0.66055,1.08375,0.00021103,0.00021103,0.00021103
49,297.907,0.33164,0.31932,0.86213,0.98882,1,0.995,0.80402,0.67552,0.66428,1.11278,0.00019968,0.00019968,0.00019968
50,303.845,0.35007,0.31438,0.86182,0.98882,1,0.995,0.80402,0.67552,0.66428,1.11278,0.00018767,0.00018767,0.00018767
51,309.797,0.34748,0.35684,0.82528,0.98984,1,0.995,0.78779,0.70359,0.66729,1.15993,0.000175,0.000175,0.000175
52,315.931,0.34021,0.36424,0.81272,0.98984,1,0.995,0.78779,0.70359,0.66729,1.15993,0.00016167,0.00016167,0.00016167
53,322.03,0.32029,0.35428,0.81629,0.98984,1,0.995,0.78779,0.70359,0.66729,1.15993,0.00014768,0.00014768,0.00014768
54,327.865,0.437,0.43949,0.89636,0.92388,1,0.99125,0.77579,0.7329,0.67703,1.20914,0.00013303,0.00013303,0.00013303
55,334.233,0.36887,0.39173,0.88246,0.92388,1,0.99125,0.77579,0.7329,0.67703,1.20914,0.00011772,0.00011772,0.00011772
56,339.935,0.39353,0.37,0.80025,0.92388,1,0.99125,0.77579,0.7329,0.67703,1.20914,0.00010175,0.00010175,0.00010175
57,345.771,0.32632,0.33719,0.84008,0.91515,1,0.99125,0.78713,0.74621,0.67812,1.22315,8.512e-05,8.512e-05,8.512e-05
58,351.813,0.32834,0.35661,0.82658,0.91515,1,0.99125,0.78713,0.74621,0.67812,1.22315,6.783e-05,6.783e-05,6.783e-05
59,357.345,0.32309,0.36906,0.81483,0.91515,1,0.99125,0.78713,0.74621,0.67812,1.22315,4.988e-05,4.988e-05,4.988e-05
60,363.196,0.28305,0.32318,0.77867,0.97337,0.93333,0.99125,0.80152,0.74303,0.67435,1.21777,3.127e-05,3.127e-05,3.127e-05
1,8.27238,1.35376,2.43838,1.41771,0.35815,0.56364,0.35514,0.28484,0.68931,1.64642,1.04683,0,0,0
2,15.5961,1.24937,2.28032,1.32314,0.41459,0.56364,0.40624,0.33265,0.66593,1.54548,1.02622,1.967e-05,1.967e-05,1.967e-05
3,22.8513,1.10148,2.10376,1.31253,0.50957,0.61818,0.52053,0.43259,0.60418,1.38597,0.97888,3.868e-05,3.868e-05,3.868e-05
4,29.7967,0.99583,1.64922,1.17115,0.69511,0.69091,0.64084,0.55133,0.52981,1.36979,0.91569,5.703e-05,5.703e-05,5.703e-05
5,36.7524,0.92665,1.34527,1.15254,0.75812,0.76364,0.73316,0.64555,0.50142,1.45745,0.89731,7.472e-05,7.472e-05,7.472e-05
6,44.0113,0.75067,1.07472,1.01479,0.77547,0.85455,0.8278,0.70882,0.5172,1.48594,0.89604,9.175e-05,9.175e-05,9.175e-05
7,51.3232,0.69855,0.86501,0.99316,0.84615,0.87273,0.90503,0.78384,0.54744,1.34823,0.90025,0.00010812,0.00010812,0.00010812
8,58.3888,0.72631,1.19275,1.11632,0.88633,0.89091,0.93707,0.80621,0.55059,1.07888,0.90083,0.00012383,0.00012383,0.00012383
9,65.6192,0.56613,0.6716,0.90497,0.94409,0.92121,0.96647,0.84241,0.52326,1.05621,0.88894,0.00013888,0.00013888,0.00013888
10,73.5013,0.60535,0.78972,0.99181,0.93435,0.92727,0.97948,0.86944,0.48102,1.19641,0.87541,0.00015327,0.00015327,0.00015327
11,81.422,0.63426,0.70192,0.96612,0.91387,0.9646,0.98712,0.88275,0.4437,1.20917,0.86235,0.000167,0.000167,0.000167
12,89.6644,0.61134,0.65893,0.98408,0.92916,0.98182,0.99221,0.90082,0.42924,1.03369,0.85284,0.00018007,0.00018007,0.00018007
13,97.4956,0.55415,0.51738,0.91608,0.94745,0.9835,0.99215,0.90107,0.42307,0.91014,0.85154,0.00019248,0.00019248,0.00019248
14,105.597,0.54148,0.5172,0.94522,0.95779,1,0.99392,0.9029,0.43302,0.88661,0.85388,0.00020423,0.00020423,0.00020423
